FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
FL103970,PNQ-HYD,PNQ,HYD,2025-05-04,151,B737,120,83,493020,159241
FL103971,MAA-GOI,MAA,GOI,2024-11-23,110,A321,180,45,235710,195455
FL103972,HYD-BLR,HYD,BLR,2025-12-05,130,ATR72,180,97,506437,186648
FL103973,BOM-JAI,BOM,JAI,2025-10-22,62,A320,150,102,527952,113861
FL103974,HYD-JAI,HYD,JAI,2025-02-28,77,B787,90,40,172160,113270
FL103975,BOM-MAA,BOM,MAA,2024-06-25,136,ATR72,70,33,175164,193490
FL103976,HYD-CCU,HYD,CCU,2024-12-23,60,A321,120,78,469482,95206
FL103977,DEL-MAA,DEL,MAA,2024-11-12,106,A321,70,51,164424,196093
FL103978,BLR-DEL,BLR,DEL,2025-11-11,157,Q400,70,32,109536,151499
FL103979,AMD-PNQ,AMD,PNQ,2024-02-05,72,A320,90,80,442160,115780
FL103980,HYD-JAI,HYD,JAI,2025-11-07,162,ATR72,150,88,448184,166316
FL103981,GOI-BLR,GOI,BLR,2025-01-10,133,A321,150,113,372561,135452
FL103982,PNQ-AMD,PNQ,AMD,2025-07-10,65,Q400,150,30,174360,178589
FL103983,HYD-CCU,HYD,CCU,2024-01-15,126,A321,150,109,417579,121927
FL103984,DEL-CCU,DEL,CCU,2024-01-28,107,B737,70,65,197080,106166
FL103985,HYD-PNQ,HYD,PNQ,2024-05-11,139,B787,120,47,245575,178047
FL103986,BOM-GOI,BOM,GOI,2025-03-19,81,A321,150,111,666000,100657
FL103987,GOI-DEL,GOI,DEL,2025-02-18,168,A321,180,180,469260,110154
FL103988,BLR-BOM,BLR,BOM,2024-12-17,125,ATR72,120,86,450726,115898
FL103989,HYD-CCU,HYD,CCU,2025-12-16,75,B737,120,51,183804,167285
FL103990,JAI-CCU,JAI,CCU,2024-09-16,146,ATR72,70,59,374473,130430
FL103991,MAA-BOM,MAA,BOM,2025-03-10,89,A321,70,69,353625,196981
FL103992,BLR-GOI,BLR,GOI,2025-03-03,142,ATR72,70,52,243620,80531
FL103993,BOM-AMD,BOM,AMD,2025-08-30,98,B737,120,66,245058,167727
FL103994,PNQ-HYD,PNQ,HYD,2024-08-07,123,B787,150,143,618475,107063
FL103995,JAI-PNQ,JAI,PNQ,2025-02-24,161,B787,150,137,705824,85154
FL103996,BOM-MAA,BOM,MAA,2025-09-17,158,A321,70,56,194600,160585
FL103997,AMD-PNQ,AMD,PNQ,2024-10-07,110,B787,78,33,90090,87123
FL103998,JAI-BOM,JAI,BOM,2024-08-24,166,A321,90,90,381780,199943
FL103999,HYD-PNQ,HYD,PNQ,2024-11-29,119,B787,90,63,236628,124617
FL104000,BOM-AMD,BOM,AMD,2024-11-05,88,A320,78,75,252750,93654
FL104001,PNQ-GOI,PNQ,GOI,2025-05-07,131,Q400,180,114,446538,105170
FL104002,CCU-DEL,CCU,DEL,2024-12-27,125,Q400,90,34,96594,95891
FL104003,DEL-PNQ,DEL,PNQ,2025-04-03,81,B737,180,132,565488,183149
FL104004,HYD-JAI,HYD,JAI,2024-06-06,126,A320,180,174,573852,132463
FL104005,BLR-AMD,BLR,AMD,2025-03-02,173,A320,180,41,149158,141110
FL104006,AMD-CCU,AMD,CCU,2025-06-27,90,B787,90,70,308840,195769
FL104007,MAA-JAI,MAA,JAI,2025-05-18,174,A321,78,35,125930,98984
FL104008,DEL-HYD,DEL,HYD,2025-06-09,88,Q400,78,56,314776,142343
FL104009,BLR-JAI,BLR,JAI,2024-03-18,76,A320,150,44,270556,132870
FL104010,AMD-MAA,AMD,MAA,2024-12-03,161,Q400,78,51,250155,188657
FL104011,PNQ-BLR,PNQ,BLR,2025-07-23,81,ATR72,120,103,565058,142467
FL104012,JAI-PNQ,JAI,PNQ,2025-09-17,143,B787,150,53,251485,94525
FL104013,AMD-DEL,AMD,DEL,2025-06-28,106,A320,150,141,678492,111686
FL104014,BOM-AMD,BOM,AMD,2024-06-08,171,A320,70,53,166473,92826
FL104015,MAA-DEL,MAA,DEL,2024-07-08,129,ATR72,150,124,708784,190945
FL104016,PNQ-HYD,PNQ,HYD,2024-06-11,73,A320,150,91,455273,126196
FL104017,BOM-JAI,BOM,JAI,2024-08-18,100,A321,150,130,503230,189534
FL104018,BOM-AMD,BOM,AMD,2024-11-11,88,B787,70,61,270169,118989
FL104019,JAI-DEL,JAI,DEL,2025-04-03,114,ATR72,90,51,159528,101599
FL104020,PNQ-MAA,PNQ,MAA,2024-02-20,92,A321,120,88,442904,121338
FL104021,AMD-GOI,AMD,GOI,2024-08-02,180,Q400,90,83,297721,100292
FL104022,BLR-GOI,BLR,GOI,2024-09-14,147,B737,120,61,232898,176765
FL104023,BOM-AMD,BOM,AMD,2024-09-26,146,B787,150,75,416175,198978
FL104024,PNQ-JAI,PNQ,JAI,2024-02-26,85,B787,70,70,227710,133418
FL104025,PNQ-BLR,PNQ,BLR,2025-08-12,62,B787,150,150,701250,118560
FL104026,MAA-CCU,MAA,CCU,2025-06-16,82,B787,70,36,145944,195290
FL104027,BLR-PNQ,BLR,PNQ,2024-01-29,65,B787,70,67,234835,104208
FL104028,MAA-GOI,MAA,GOI,2024-01-18,81,B787,180,102,644130,126706
FL104029,DEL-AMD,DEL,AMD,2024-04-22,97,B737,150,125,318750,113248
FL104030,AMD-PNQ,AMD,PNQ,2024-12-11,108,B737,120,104,286832,196644
FL104031,GOI-BOM,GOI,BOM,2025-10-15,118,A321,180,51,234498,96945
FL104032,JAI-HYD,JAI,HYD,2025-05-19,114,ATR72,180,122,588650,157453
FL104033,JAI-PNQ,JAI,PNQ,2025-05-28,148,A321,90,71,293727,176695
FL104034,CCU-HYD,CCU,HYD,2024-10-02,100,Q400,150,133,510055,168859
FL104035,HYD-BLR,HYD,BLR,2025-03-11,73,B787,150,73,425882,93857
FL104036,MAA-HYD,MAA,HYD,2025-04-11,171,A321,180,102,316710,125677
FL104037,JAI-PNQ,JAI,PNQ,2025-02-15,168,B787,70,53,263569,176822
FL104038,AMD-BLR,AMD,BLR,2025-03-23,80,B787,180,87,408291,147666
FL104039,HYD-AMD,HYD,AMD,2025-08-06,150,ATR72,90,53,271201,167670
FL104040,PNQ-AMD,PNQ,AMD,2025-04-15,156,A321,70,57,199215,85744
FL104041,MAA-CCU,MAA,CCU,2024-12-06,143,ATR72,180,44,171512,106178
FL104042,HYD-DEL,HYD,DEL,2025-07-13,109,ATR72,150,70,263410,139389
FL104043,AMD-PNQ,AMD,PNQ,2025-08-04,178,B787,78,62,159960,161343
FL104044,HYD-PNQ,HYD,PNQ,2025-10-03,65,A321,180,126,381780,101248
FL104045,BLR-AMD,BLR,AMD,2024-05-02,72,B787,70,57,237120,141630
FL104046,HYD-CCU,HYD,CCU,2025-03-25,151,A321,70,56,306936,142070
FL104047,CCU-BLR,CCU,BLR,2024-09-14,94,B787,78,43,171097,88642
FL104048,AMD-MAA,AMD,MAA,2024-12-29,125,A321,78,30,121560,102297
FL104049,HYD-GOI,HYD,GOI,2025-09-07,90,B787,120,43,271631,194780
FL104050,JAI-BOM,JAI,BOM,2025-05-22,136,B737,78,30,76650,188329
FL104051,MAA-GOI,MAA,GOI,2025-10-14,174,B787,120,75,402750,109177
FL104052,MAA-GOI,MAA,GOI,2025-09-16,92,Q400,120,102,435132,156014
FL104053,JAI-DEL,JAI,DEL,2025-04-21,156,ATR72,180,104,662064,80110
FL104054,BOM-CCU,BOM,CCU,2025-10-13,85,Q400,78,49,293510,155665
FL104055,DEL-MAA,DEL,MAA,2024-04-18,131,B787,90,60,377340,96455
FL104056,MAA-GOI,MAA,GOI,2024-06-06,163,A321,180,43,252109,140254
FL104057,HYD-DEL,HYD,DEL,2025-11-17,180,A320,150,39,100971,83665
FL104058,BLR-BOM,BLR,BOM,2025-01-06,98,A320,70,60,349380,102062
FL104059,CCU-PNQ,CCU,PNQ,2025-07-29,167,B787,90,79,445876,176323
FL104060,MAA-DEL,MAA,DEL,2024-07-24,135,Q400,150,70,245490,80494
FL104061,BLR-BOM,BLR,BOM,2025-07-25,138,A320,78,56,241976,161561
FL104062,BOM-HYD,BOM,HYD,2024-04-05,103,A320,70,51,197676,198083
FL104063,AMD-BOM,AMD,BOM,2025-07-18,67,Q400,150,48,243312,189166
FL104064,MAA-CCU,MAA,CCU,2025-10-30,170,B737,78,34,130254,129314
FL104065,PNQ-DEL,PNQ,DEL,2024-07-14,148,A320,150,33,103950,95710
FL104066,HYD-AMD,HYD,AMD,2025-06-10,102,B787,90,47,188893,197856
FL104067,HYD-PNQ,HYD,PNQ,2025-06-28,180,A320,150,120,686880,112687
FL104068,MAA-BOM,MAA,BOM,2024-04-19,164,A320,78,69,321609,189659
FL104069,HYD-BLR,HYD,BLR,2025-09-11,104,Q400,180,74,394864,134161
FL104070,PNQ-AMD,PNQ,AMD,2024-03-09,163,A320,90,75,261225,147022
FL104071,BOM-HYD,BOM,HYD,2025-07-17,143,B737,150,114,646494,91417
FL104072,BOM-AMD,BOM,AMD,2025-11-09,146,B787,180,86,448232,103185
FL104073,BLR-BOM,BLR,BOM,2024-10-09,161,B787,150,62,209126,85643
FL104074,GOI-MAA,GOI,MAA,2024-03-16,137,A321,78,70,401450,176302
FL104075,PNQ-MAA,PNQ,MAA,2024-06-25,173,A320,90,40,220560,83027
FL104076,HYD-GOI,HYD,GOI,2025-12-25,150,ATR72,78,37,169349,99259
FL104077,CCU-JAI,CCU,JAI,2024-04-01,86,A321,120,55,315150,88462
FL104078,PNQ-AMD,PNQ,AMD,2025-09-14,120,B787,90,73,229731,121154
FL104079,CCU-AMD,CCU,AMD,2025-01-03,138,A321,78,63,273672,172793
FL104080,AMD-JAI,AMD,JAI,2024-09-18,168,Q400,90,76,395200,138121
FL104081,MAA-AMD,MAA,AMD,2025-12-05,124,A320,78,30,175170,102176
FL104082,HYD-JAI,HYD,JAI,2024-02-25,77,A320,120,104,633464,127819
FL104083,HYD-PNQ,HYD,PNQ,2025-06-23,179,B787,90,78,315276,140594
FL104084,HYD-GOI,HYD,GOI,2024-05-05,152,B737,90,71,330505,128750
FL104085,GOI-DEL,GOI,DEL,2024-02-03,175,A320,180,109,641138,144538
FL104086,AMD-HYD,AMD,HYD,2025-06-16,177,B737,180,78,230490,83771
FL104087,BLR-JAI,BLR,JAI,2024-05-11,89,B737,70,33,85173,181833
FL104088,AMD-BOM,AMD,BOM,2024-12-05,174,B737,180,106,687092,160402
FL104089,CCU-DEL,CCU,DEL,2025-07-10,132,B787,70,37,228771,190964
FL104090,BLR-PNQ,BLR,PNQ,2025-07-05,150,B787,90,78,253188,97971
FL104091,PNQ-HYD,PNQ,HYD,2024-11-25,71,B787,90,73,436321,115916
FL104092,BOM-GOI,BOM,GOI,2025-05-04,89,A321,180,155,640615,86858
FL104093,DEL-GOI,DEL,GOI,2025-10-24,75,B787,70,30,157680,115018
FL104094,HYD-PNQ,HYD,PNQ,2024-12-31,87,Q400,180,138,514050,161708
FL104095,DEL-GOI,DEL,GOI,2024-12-28,142,B787,150,131,529240,116294
FL104096,GOI-JAI,GOI,JAI,2024-05-03,178,A320,70,39,110604,136018
FL104097,MAA-DEL,MAA,DEL,2024-06-24,77,Q400,120,67,267129,104863
FL104098,GOI-JAI,GOI,JAI,2025-03-10,177,A320,150,71,348894,95134
FL104099,HYD-GOI,HYD,GOI,2024-07-18,139,B737,180,99,354816,135093
FL104100,BOM-JAI,BOM,JAI,2024-04-02,75,B737,78,55,268345,166706
FL104101,HYD-GOI,HYD,GOI,2024-03-15,119,A321,150,128,792704,175268
FL104102,CCU-JAI,CCU,JAI,2025-03-05,134,A320,180,135,504900,108059
FL104103,BOM-BLR,BOM,BLR,2025-05-24,67,A320,180,147,586089,181953
FL104104,AMD-MAA,AMD,MAA,2025-09-17,113,Q400,120,110,566830,105363
FL104105,GOI-CCU,GOI,CCU,2025-05-05,177,ATR72,70,54,345114,114675
FL104106,PNQ-AMD,PNQ,AMD,2025-01-01,126,A320,120,41,265352,149548
FL104107,PNQ-GOI,PNQ,GOI,2024-07-08,72,Q400,78,33,155760,169112
FL104108,PNQ-JAI,PNQ,JAI,2025-01-26,137,B737,90,84,340620,93158
FL104109,CCU-MAA,CCU,MAA,2024-07-05,116,A320,120,120,426480,151202
FL104110,AMD-GOI,AMD,GOI,2025-04-05,73,Q400,90,82,373428,103800
FL104111,GOI-HYD,GOI,HYD,2024-09-24,154,A321,150,46,231196,190642
FL104112,MAA-GOI,MAA,GOI,2024-07-10,74,B737,180,166,494514,110936
FL104113,PNQ-BLR,PNQ,BLR,2025-02-27,82,A321,180,134,704572,122743
FL104114,PNQ-DEL,PNQ,DEL,2024-10-13,62,A320,150,118,483918,194153
FL104115,HYD-DEL,HYD,DEL,2025-05-01,72,A320,150,133,563122,121203
FL104116,DEL-BOM,DEL,BOM,2024-10-10,175,A320,70,30,112980,176012
FL104117,DEL-BOM,DEL,BOM,2024-04-10,72,B787,180,145,434710,145619
FL104118,BLR-CCU,BLR,CCU,2025-06-09,89,B737,120,95,437190,157975
FL104119,CCU-JAI,CCU,JAI,2025-02-20,148,A321,120,117,366678,119259
FL104120,CCU-BLR,CCU,BLR,2024-10-25,101,B787,78,60,258720,88720
FL104121,AMD-GOI,AMD,GOI,2024-01-23,73,Q400,150,121,434995,88651
FL104122,PNQ-GOI,PNQ,GOI,2025-09-08,61,Q400,78,47,243178,172555
FL104123,PNQ-CCU,PNQ,CCU,2024-08-27,60,B787,78,40,121720,190505
FL104124,DEL-HYD,DEL,HYD,2025-03-07,135,A321,180,57,359385,117131
FL104125,PNQ-DEL,PNQ,DEL,2025-02-23,123,A321,70,64,299968,187033
FL104126,BOM-BLR,BOM,BLR,2024-07-02,84,ATR72,78,64,335808,106179
FL104127,PNQ-CCU,PNQ,CCU,2024-08-03,67,B737,78,31,97898,163510
FL104128,AMD-BOM,AMD,BOM,2024-01-19,117,B737,78,75,191400,174036
FL104129,MAA-JAI,MAA,JAI,2025-04-03,122,B787,180,40,141160,84769
FL104130,DEL-CCU,DEL,CCU,2025-02-20,171,ATR72,70,65,215605,140872
FL104131,MAA-BOM,MAA,BOM,2024-05-12,170,Q400,90,63,244377,142492
FL104132,GOI-AMD,GOI,AMD,2024-04-24,120,A320,180,115,584660,83038
FL104133,PNQ-DEL,PNQ,DEL,2024-01-08,115,A320,78,44,131164,186276
FL104134,BLR-DEL,BLR,DEL,2024-07-31,140,B737,180,177,948189,99851
FL104135,BLR-HYD,BLR,HYD,2025-08-06,133,A320,180,157,744965,136898
FL104136,MAA-GOI,MAA,GOI,2025-02-15,97,B787,180,147,932127,166615
FL104137,AMD-PNQ,AMD,PNQ,2024-07-30,121,B787,70,44,208648,152313
FL104138,DEL-HYD,DEL,HYD,2024-05-10,112,B737,90,36,224892,182063
FL104139,CCU-GOI,CCU,GOI,2024-07-20,109,A321,90,47,272177,130435
FL104140,CCU-PNQ,CCU,PNQ,2024-03-02,110,A321,90,40,172840,152584
FL104141,JAI-DEL,JAI,DEL,2024-02-04,143,ATR72,180,153,471240,103283
FL104142,GOI-BOM,GOI,BOM,2024-03-24,105,B787,78,31,83173,112013
FL104143,BLR-BOM,BLR,BOM,2025-04-08,143,ATR72,120,31,192789,177835
FL104144,PNQ-JAI,PNQ,JAI,2025-06-09,87,B737,180,159,644427,156110
FL104145,GOI-JAI,GOI,JAI,2025-10-10,136,B787,150,79,399424,102608
FL104146,AMD-JAI,AMD,JAI,2025-08-04,62,Q400,70,70,446740,186110
FL104147,BLR-DEL,BLR,DEL,2025-04-09,92,B737,180,104,311688,85671
FL104148,BOM-CCU,BOM,CCU,2025-07-03,72,A321,70,36,207648,166119
FL104149,JAI-BOM,JAI,BOM,2024-05-03,79,A321,180,105,564585,110583
FL104150,MAA-PNQ,MAA,PNQ,2025-08-05,174,A320,150,98,436884,110737
FL104151,MAA-DEL,MAA,DEL,2025-11-21,130,A321,78,39,164190,149019
FL104152,BLR-BOM,BLR,BOM,2024-07-13,131,B787,78,54,241758,150882
FL104153,DEL-CCU,DEL,CCU,2024-05-31,74,B737,90,61,336598,145545
FL104154,HYD-MAA,HYD,MAA,2024-02-27,89,Q400,120,83,261284,161362
FL104155,JAI-MAA,JAI,MAA,2024-07-09,124,ATR72,180,48,265680,172301
FL104156,BOM-MAA,BOM,MAA,2025-07-17,134,A321,70,63,276066,142900
FL104157,BOM-HYD,BOM,HYD,2025-02-10,167,B737,78,36,186372,157279
FL104158,CCU-GOI,CCU,GOI,2025-02-18,109,A321,120,38,151924,159893
FL104159,HYD-BLR,HYD,BLR,2024-11-04,126,A321,70,68,422280,110779
FL104160,MAA-HYD,MAA,HYD,2024-03-24,154,B787,150,37,189403,94799
FL104161,BOM-GOI,BOM,GOI,2025-06-22,128,ATR72,120,99,549549,157323
FL104162,HYD-CCU,HYD,CCU,2025-04-09,85,A320,70,55,291610,147868
FL104163,BLR-CCU,BLR,CCU,2025-04-27,130,Q400,120,98,496370,184078
FL104164,BLR-PNQ,BLR,PNQ,2024-09-17,72,A321,180,154,691768,107577
FL104165,DEL-JAI,DEL,JAI,2024-01-05,67,B787,150,44,139084,103396
FL104166,BLR-AMD,BLR,AMD,2025-12-16,137,ATR72,180,114,514710,124202
FL104167,AMD-BOM,AMD,BOM,2024-08-16,154,B787,150,118,504804,147570
FL104168,PNQ-BLR,PNQ,BLR,2025-04-19,118,ATR72,78,60,234300,179218
FL104169,HYD-DEL,HYD,DEL,2025-10-31,70,B737,180,64,284480,194328
FL104170,BLR-GOI,BLR,GOI,2024-10-28,176,Q400,78,56,348432,173367
FL104171,DEL-AMD,DEL,AMD,2024-11-13,127,B737,90,46,283774,182079
FL104172,MAA-GOI,MAA,GOI,2025-09-07,81,ATR72,150,42,134778,131205
FL104173,BLR-HYD,BLR,HYD,2025-05-08,171,B787,70,40,119920,82483
FL104174,AMD-PNQ,AMD,PNQ,2025-09-26,73,B787,78,47,196648,166911
FL104175,PNQ-HYD,PNQ,HYD,2024-04-10,167,ATR72,150,74,431716,183803
FL104176,MAA-BLR,MAA,BLR,2025-11-14,72,B787,78,44,125136,88434
FL104177,PNQ-BOM,PNQ,BOM,2025-01-02,102,B737,120,71,183535,138506
FL104178,JAI-BOM,JAI,BOM,2025-12-20,155,B737,120,58,358788,157704
FL104179,GOI-PNQ,GOI,PNQ,2025-08-17,141,Q400,78,70,451290,159353
FL104180,BLR-DEL,BLR,DEL,2024-12-16,77,B737,120,99,306504,137516
FL104181,AMD-CCU,AMD,CCU,2024-12-11,121,B787,180,74,256632,188633
FL104182,DEL-PNQ,DEL,PNQ,2025-04-29,142,ATR72,150,145,742835,106674
FL104183,GOI-PNQ,GOI,PNQ,2024-08-18,91,A320,78,40,258480,182039
FL104184,MAA-PNQ,MAA,PNQ,2024-03-21,117,B737,150,85,325890,173599
FL104185,MAA-GOI,MAA,GOI,2025-11-03,90,A321,78,45,184455,114313
FL104186,DEL-HYD,DEL,HYD,2025-02-16,68,B737,150,59,239245,193944
FL104187,BLR-HYD,BLR,HYD,2025-05-11,119,A320,120,35,122430,169748
FL104188,MAA-GOI,MAA,GOI,2025-08-25,101,ATR72,78,40,107120,100175
FL104189,MAA-BLR,MAA,BLR,2024-10-04,114,B787,70,63,303408,150324
FL104190,AMD-DEL,AMD,DEL,2025-01-15,95,A321,120,70,246610,191724
FL104191,AMD-BLR,AMD,BLR,2024-07-05,129,B737,70,36,196524,121243
FL104192,BLR-PNQ,BLR,PNQ,2025-12-29,63,A321,150,93,464256,194282
FL104193,JAI-BOM,JAI,BOM,2024-03-22,85,A321,150,95,421515,152710
FL104194,HYD-BOM,HYD,BOM,2025-05-05,178,A321,70,53,252651,108133
FL104195,DEL-BOM,DEL,BOM,2025-04-30,125,Q400,90,43,135407,122704
FL104196,AMD-BOM,AMD,BOM,2025-04-09,86,Q400,70,57,230907,148143
FL104197,CCU-PNQ,CCU,PNQ,2024-03-07,72,B737,78,46,185748,152181
FL104198,DEL-AMD,DEL,AMD,2024-02-07,153,B787,180,92,577852,143047
FL104199,CCU-BOM,CCU,BOM,2024-08-29,81,Q400,150,141,592482,143669
FL104200,JAI-PNQ,JAI,PNQ,2024-12-24,116,ATR72,180,54,281016,130749
FL104201,HYD-GOI,HYD,GOI,2024-04-08,162,A320,90,78,375882,99924
FL104202,BLR-AMD,BLR,AMD,2024-03-05,129,B737,90,70,210490,122511
FL104203,AMD-PNQ,AMD,PNQ,2024-07-07,64,A320,150,79,451011,80360
FL104204,GOI-AMD,GOI,AMD,2025-05-11,80,A321,70,62,393390,186833
FL104205,PNQ-GOI,PNQ,GOI,2024-06-19,178,Q400,120,101,314211,157368
FL104206,JAI-GOI,JAI,GOI,2025-03-17,74,B787,70,54,163998,195974
FL104207,AMD-BLR,AMD,BLR,2025-01-08,159,A321,180,178,461020,82499
FL104208,JAI-BOM,JAI,BOM,2025-07-11,64,ATR72,180,164,643864,148198
FL104209,MAA-BLR,MAA,BLR,2025-09-26,99,B737,70,67,395166,92366
FL104210,BLR-BOM,BLR,BOM,2024-06-07,161,B787,78,30,189990,108470
FL104211,JAI-CCU,JAI,CCU,2024-09-09,138,Q400,70,41,166009,127649
FL104212,AMD-PNQ,AMD,PNQ,2024-11-27,122,A321,70,54,348786,81647
FL104213,DEL-HYD,DEL,HYD,2025-02-07,174,B737,70,63,357840,167837
FL104214,PNQ-BLR,PNQ,BLR,2024-03-15,118,B737,78,53,147075,125642
FL104215,PNQ-JAI,PNQ,JAI,2024-08-22,110,ATR72,180,56,297080,99523
FL104216,CCU-MAA,CCU,MAA,2024-12-05,61,A320,90,58,303050,137833
FL104217,MAA-GOI,MAA,GOI,2025-12-09,147,A320,90,46,169602,98986
FL104218,GOI-MAA,GOI,MAA,2025-07-28,104,A320,120,51,179112,96727
FL104219,JAI-MAA,JAI,MAA,2024-12-26,179,B787,90,79,376040,104404
FL104220,PNQ-BLR,PNQ,BLR,2025-01-08,90,B737,90,84,221676,191841
FL104221,CCU-GOI,CCU,GOI,2025-10-14,122,Q400,78,46,223054,81388
FL104222,AMD-JAI,AMD,JAI,2024-03-15,78,A320,150,101,424301,195978
FL104223,BLR-AMD,BLR,AMD,2024-07-08,168,Q400,78,65,351845,88992
FL104224,BOM-DEL,BOM,DEL,2024-09-17,83,ATR72,150,58,298062,191372
FL104225,BOM-DEL,BOM,DEL,2024-03-26,78,B737,180,103,633862,100979
FL104226,CCU-BLR,CCU,BLR,2025-07-02,178,ATR72,150,48,270816,150345
FL104227,AMD-BLR,AMD,BLR,2025-03-20,167,B737,90,88,342056,134375
FL104228,GOI-JAI,GOI,JAI,2025-10-05,65,ATR72,78,32,127072,87845
FL104229,BLR-BOM,BLR,BOM,2024-10-03,116,B787,70,61,335378,181519
FL104230,GOI-CCU,GOI,CCU,2024-03-25,153,A320,120,77,229075,101409
FL104231,AMD-BLR,AMD,BLR,2025-11-21,87,B737,90,63,218043,122057
FL104232,CCU-BLR,CCU,BLR,2024-04-25,84,B787,78,71,400653,82095
FL104233,CCU-GOI,CCU,GOI,2025-02-28,68,A321,70,59,190511,99025
FL104234,BLR-JAI,BLR,JAI,2024-11-15,130,Q400,78,78,499512,137954
FL104235,GOI-JAI,GOI,JAI,2025-01-15,83,B737,120,49,280329,96338
FL104236,MAA-BOM,MAA,BOM,2025-01-17,131,Q400,70,42,126210,123631
FL104237,JAI-HYD,JAI,HYD,2024-07-25,112,ATR72,180,110,286220,124639
FL104238,GOI-MAA,GOI,MAA,2024-12-12,89,Q400,180,69,407307,184440
FL104239,JAI-GOI,JAI,GOI,2024-12-03,120,A320,90,72,382968,152287
FL104240,HYD-GOI,HYD,GOI,2024-07-23,73,A321,70,51,152898,176936
FL104241,AMD-JAI,AMD,JAI,2025-12-16,87,B737,78,56,273448,166257
FL104242,MAA-HYD,MAA,HYD,2024-04-06,176,ATR72,150,125,432625,175456
FL104243,BLR-PNQ,BLR,PNQ,2025-12-25,69,B737,180,126,450450,111974
FL104244,AMD-MAA,AMD,MAA,2025-11-05,81,ATR72,70,30,119970,147583
FL104245,MAA-CCU,MAA,CCU,2025-07-25,83,Q400,70,63,208908,188551
FL104246,HYD-DEL,HYD,DEL,2025-08-30,128,B787,150,132,347688,157570
FL104247,DEL-CCU,DEL,CCU,2024-02-25,166,Q400,150,138,831450,150815
FL104248,DEL-MAA,DEL,MAA,2025-02-04,82,B787,78,41,241244,194908
FL104249,MAA-BOM,MAA,BOM,2025-01-02,85,B737,78,63,353304,160142
FL104250,PNQ-GOI,PNQ,GOI,2025-05-14,116,A320,180,89,360183,178706
FL104251,JAI-BOM,JAI,BOM,2025-06-13,77,ATR72,120,105,498435,148036
FL104252,MAA-BLR,MAA,BLR,2025-01-01,92,B787,78,35,168315,156336
FL104253,HYD-GOI,HYD,GOI,2024-12-15,157,B787,78,44,130064,180998
FL104254,GOI-BLR,GOI,BLR,2025-07-04,61,Q400,150,100,353500,96111
FL104255,BOM-GOI,BOM,GOI,2024-03-16,103,A321,78,33,119790,161235
FL104256,PNQ-BLR,PNQ,BLR,2025-09-21,60,A320,90,52,166608,139018
FL104257,MAA-JAI,MAA,JAI,2025-03-07,159,A320,120,66,321486,131801
FL104258,BOM-AMD,BOM,AMD,2024-09-22,129,Q400,90,47,278287,166868
FL104259,HYD-CCU,HYD,CCU,2025-02-16,178,A320,150,38,144894,143665
FL104260,HYD-PNQ,HYD,PNQ,2024-05-23,102,B737,78,55,304975,106601
FL104261,AMD-DEL,AMD,DEL,2025-03-17,180,ATR72,70,36,124056,113838
FL104262,MAA-GOI,MAA,GOI,2025-09-01,158,ATR72,70,57,158175,119338
FL104263,PNQ-AMD,PNQ,AMD,2024-11-30,66,B787,70,64,162112,177572
FL104264,BOM-AMD,BOM,AMD,2024-01-21,121,A320,78,59,155760,136342
FL104265,GOI-CCU,GOI,CCU,2025-01-02,147,Q400,78,57,228057,180808
FL104266,CCU-AMD,CCU,AMD,2025-11-07,69,B787,120,55,274395,109962
FL104267,PNQ-MAA,PNQ,MAA,2024-06-14,106,B737,180,165,518100,150519
FL104268,MAA-HYD,MAA,HYD,2025-05-13,86,B737,180,107,693467,142917
FL104269,DEL-JAI,DEL,JAI,2025-06-07,157,ATR72,90,89,297972,174651
FL104270,BLR-BOM,BLR,BOM,2024-06-24,79,A320,70,60,193200,93635
FL104271,JAI-GOI,JAI,GOI,2024-12-13,64,B787,180,92,255484,143813
FL104272,BOM-AMD,BOM,AMD,2024-08-31,78,A321,180,158,735490,160990
FL104273,PNQ-CCU,PNQ,CCU,2025-05-16,143,ATR72,120,52,198380,137734
FL104274,BLR-GOI,BLR,GOI,2025-12-15,159,A321,70,54,204822,140532
FL104275,BOM-PNQ,BOM,PNQ,2024-07-30,175,B787,70,36,221976,172577
FL104276,JAI-MAA,JAI,MAA,2025-04-19,153,Q400,78,50,249300,131844
FL104277,GOI-BLR,GOI,BLR,2024-10-20,160,A320,150,45,124650,189468
FL104278,GOI-AMD,GOI,AMD,2024-06-28,73,B737,180,176,635536,148938
FL104279,CCU-BLR,CCU,BLR,2025-05-22,160,A320,180,58,279908,119573
FL104280,JAI-DEL,JAI,DEL,2024-04-20,76,A320,70,34,115430,91775
FL104281,PNQ-BOM,PNQ,BOM,2024-05-29,113,B737,70,65,199615,159331
FL104282,BOM-DEL,BOM,DEL,2024-02-04,101,A320,70,61,177754,181686
FL104283,AMD-DEL,AMD,DEL,2025-04-24,150,ATR72,120,91,490945,152998
FL104284,PNQ-CCU,PNQ,CCU,2024-08-06,134,B737,150,73,350911,81014
FL104285,PNQ-GOI,PNQ,GOI,2024-05-09,149,A321,120,48,203664,188604
FL104286,MAA-HYD,MAA,HYD,2025-03-22,79,A320,90,68,275332,119864
